trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
926,False,"{'a': 0.4430811352377528, 'e': 0.6730288245795361}",20,0,-97.93961048312242,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
927,False,"{'a': 0.442757335288739, 'e': 0.6723628974652973}",20,5,-14.121910746677077,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
928,False,"{'a': 0.44243325197504585, 'e': 0.6716964257371486}",30,0,-247.49323585092125,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
929,False,"{'a': 0.44210888550408656, 'e': 0.6710294099349317}",25,6,-20.06026142352087,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
930,False,"{'a': 0.4417842360834556, 'e': 0.6703618505989293}",20,6,8.389492097438614,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
931,False,"{'a': 0.4414593039209287, 'e': 0.6696937482698646}",25,15,-49.044272021247636,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
932,False,"{'a': 0.44113408922446223, 'e': 0.6690251034889004}",25,0,-69.8489824342501,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
933,False,"{'a': 0.4408085922021938, 'e': 0.668355916797639}",20,5,16.080055485287772,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
934,False,"{'a': 0.44048281306244136, 'e': 0.6676861887381216}",25,0,-71.01715764065614,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
935,False,"{'a': 0.44015675201370363, 'e': 0.6670159198528277}",20,6,-65.3514867328292,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
936,False,"{'a': 0.43983040926465966, 'e': 0.6663451106846753}",30,5,-9.142407080228223,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
937,False,"{'a': 0.4395037850241687, 'e': 0.6656737617770196}",20,0,-24.97024399884554,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
938,False,"{'a': 0.4391768795012704, 'e': 0.6650018736736534}",20,0,-71.3328097790187,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
939,False,"{'a': 0.43884969290518416, 'e': 0.6643294469188057}",20,5,-63.516647012975056,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
940,False,"{'a': 0.43852222544530944, 'e': 0.6636564820571423}",20,3,-134.8076292555398,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
941,False,"{'a': 0.43819447733122546, 'e': 0.6629829796337648}",20,0,-55.11390704315409,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
942,False,"{'a': 0.4378664487726908, 'e': 0.66230894019421}",20,0,-2.1852701270563957,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
943,False,"{'a': 0.4375381399796441, 'e': 0.66163436428445}",20,8,-22.251242270909042,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
944,False,"{'a': 0.43720955116220256, 'e': 0.6609592524508909}",30,9,-95.86856528051992,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
945,False,"{'a': 0.4368806825306633, 'e': 0.6602836052403737}",30,19,0.6959343134004519,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
946,False,"{'a': 0.43655153429550203, 'e': 0.6596074232001723}",20,13,-51.623808400270526,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
947,False,"{'a': 0.43622210666737377, 'e': 0.658930706877994}",25,10,-1.4493654189392537,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
948,False,"{'a': 0.4358923998571122, 'e': 0.6582534568219792}",25,0,-102.41462030075725,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
949,False,"{'a': 0.4355624140757295, 'e': 0.6575756735807005}",25,8,-27.60550458371677,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
950,False,"{'a': 0.43523214953441675, 'e': 0.656897357703162}",20,8,-1.7257806430575666,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
951,False,"{'a': 0.4349016064445431, 'e': 0.6562185097387998}",20,9,-2.1416210294585176,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
952,False,"{'a': 0.43457078501765617, 'e': 0.6555391302374804}",20,0,-53.02622781785447,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
953,False,"{'a': 0.43423968546548164, 'e': 0.6548592197495016}",20,0,-25.400322405118498,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
954,False,"{'a': 0.43390830799992325, 'e': 0.6541787788255904}",20,15,7.822131644523383,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.43357665283306257, 'e': 0.6534978080169043}",20,3,-58.48743718097611,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
956,False,"{'a': 0.4332447201771589, 'e': 0.6528163078750293}",20,0,-34.533000890904034,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
957,False,"{'a': 0.432912510244649, 'e': 0.6521342789519807}",25,0,-38.93370951403772,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
958,False,"{'a': 0.43258002324814737, 'e': 0.6514517218002017}",20,0,-22.12259959406454,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
959,False,"{'a': 0.43224725940044567, 'e': 0.6507686369725637}",25,0,-85.22690409569714,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
960,False,"{'a': 0.4319142189145127, 'e': 0.6500850250223654}",20,0,-70.26790930037399,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
961,False,"{'a': 0.43158090200349436, 'e': 0.6494008865033323}",25,0,-64.71434439804473,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
962,False,"{'a': 0.4312473088807135, 'e': 0.6487162219696166}",20,0,-53.96990272028391,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
963,False,"{'a': 0.4309134397596696, 'e': 0.6480310319757967}",20,0,-10.58928759711049,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
964,False,"{'a': 0.43057929485403895, 'e': 0.6473453170768763}",25,0,-110.22610001773174,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
965,False,"{'a': 0.43024487437767445, 'e': 0.6466590778282845}",25,0,-105.7344046300325,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
966,False,"{'a': 0.42991017854460484, 'e': 0.6459723147858749}",20,0,-91.31023874320401,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
967,False,"{'a': 0.4295752075690358, 'e': 0.6452850285059257}",30,0,-109.91449911395569,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
968,False,"{'a': 0.42923996166534845, 'e': 0.6445972195451386}",20,0,-21.174956378573036,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
969,False,"{'a': 0.4289044410481003, 'e': 0.643908888460639}",30,17,-19.88750559787027,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
970,False,"{'a': 0.4285686459320246, 'e': 0.643220035809975}",25,8,-71.49874341528309,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
971,False,"{'a': 0.42823257653203006, 'e': 0.6425306621511171}",25,1,-45.389846216689826,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
972,False,"{'a': 0.4278962330632012, 'e': 0.6418407680424579}",30,0,-55.468992472409965,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
973,False,"{'a': 0.42755961574079776, 'e': 0.6411503540428118}",20,12,1.058763321891237,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.42722272478025486, 'e': 0.640459420711414}",20,0,-134.13198615579435,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
975,False,"{'a': 0.4268855603971827, 'e': 0.6397679686079204}",20,8,-15.688701924703311,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
976,False,"{'a': 0.42654812280736637, 'e': 0.6390759982924072}",20,0,-114.29685700855111,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
977,False,"{'a': 0.4262104122267661, 'e': 0.6383835103253703}",25,10,-6.218396230833088,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
978,False,"{'a': 0.4258724288715165, 'e': 0.637690505267725}",30,0,-67.75770718275105,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
979,False,"{'a': 0.42553417295792695, 'e': 0.6369969836808053}",25,7,-59.77847753293688,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
980,False,"{'a': 0.4251956447024813, 'e': 0.6363029461263635}",25,0,-31.523495699996587,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
981,False,"{'a': 0.42485684432183746, 'e': 0.6356083931665703}",25,0,-54.42940302025341,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
982,False,"{'a': 0.42451777203282776, 'e': 0.6349133253640133}",25,0,-84.22728060320863,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
983,False,"{'a': 0.4241784280524585, 'e': 0.6342177432816974}",20,0,-21.807241218528894,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
984,False,"{'a': 0.42383881259790984, 'e': 0.6335216474830444}",20,10,-29.399855719357944,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
985,False,"{'a': 0.4234989258865355, 'e': 0.6328250385318913}",30,0,-71.82856763639987,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
986,False,"{'a': 0.423158768135863, 'e': 0.6321279169924917}",20,9,-7.512073015290054,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
987,False,"{'a': 0.42281833956359344, 'e': 0.6314302834295139}",20,0,-34.26043269855092,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
988,False,"{'a': 0.4224776403876009, 'e': 0.630732138408041}",20,0,-60.53444759004541,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
989,False,"{'a': 0.422136670825933, 'e': 0.6300334824935705}",25,0,-52.01807271581702,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
990,False,"{'a': 0.4217954310968101, 'e': 0.6293343162520135}",20,5,-12.601629259693805,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
991,False,"{'a': 0.42145392141862575, 'e': 0.628634640249695}",25,3,-2.3475702925551465,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
992,False,"{'a': 0.42111214200994607, 'e': 0.6279344550533521}",25,0,-23.743925766990856,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
993,False,"{'a': 0.4207700930895099, 'e': 0.6272337612301351}",35,0,-83.91353482973331,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
994,False,"{'a': 0.42042777487622846, 'e': 0.6265325593476055}",25,0,-22.288348419294202,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
995,False,"{'a': 0.4200851875891855, 'e': 0.6258308499737373}",25,0,-29.941555889890115,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
996,False,"{'a': 0.4197423314476368, 'e': 0.6251286336769148}",20,0,-111.71374400250237,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
997,False,"{'a': 0.4193992066710103, 'e': 0.6244259110259333}",20,0,-26.210137964623677,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
998,False,"{'a': 0.41905581347890586, 'e': 0.6237226825899977}",25,0,-87.90989097489653,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
999,False,"{'a': 0.4187121520910951, 'e': 0.6230189489387236}",20,0,-55.295017819077415,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
1000,False,"{'a': 0.4183682227275213, 'e': 0.6223147106421348}",25,6,-16.02837873901065,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
1001,False,"{'a': 0.4180240256082992, 'e': 0.6216099682706644}",25,0,-57.93579408450802,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
1002,False,"{'a': 0.417679560953715, 'e': 0.6209047223951538}",20,7,-50.52756749829889,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
1003,False,"{'a': 0.417334828984226, 'e': 0.6201989735868519}",35,26,-6.024270793112073,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
1004,False,"{'a': 0.41698982992046085, 'e': 0.6194927224174154}",20,0,-33.52898348237646,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
1005,False,"{'a': 0.41664456398321864, 'e': 0.6187859694589075}",20,0,-81.60814574001229,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
1006,False,"{'a': 0.41629903139346974, 'e': 0.6180787152837982}",20,0,-100.52217393560271,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
1007,False,"{'a': 0.41595323237235493, 'e': 0.6173709604649633}",25,0,-25.42267568584202,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
1008,False,"{'a': 0.41560716714118556, 'e': 0.6166627055756843}",25,15,6.904572170734545,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.4152608359214435, 'e': 0.6159539511896474}",20,4,-53.67252152447915,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
1010,False,"{'a': 0.41491423893478063, 'e': 0.6152446978809437}",20,0,-92.78132508720643,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1011,False,"{'a': 0.41456737640301894, 'e': 0.6145349462240683}",20,0,-32.93892464578961,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1012,False,"{'a': 0.41422024854815054, 'e': 0.6138246967939203}",20,0,-13.000417160498433,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1013,False,"{'a': 0.4138728555923372, 'e': 0.6131139501658013}",35,0,-12.19190776996406,"{0: 30, 1: 0, 2: 5, 3: 0, 4: 0}",0
1014,False,"{'a': 0.4135251977579104, 'e': 0.6124027069154161}",20,3,-45.87431648985243,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
1015,False,"{'a': 0.4131772752673712, 'e': 0.6116909676188719}",25,0,-49.97149520209,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
1016,False,"{'a': 0.4128290883433899, 'e': 0.6109787328526773}",20,0,-70.11217842970262,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
1017,False,"{'a': 0.4124806372088061, 'e': 0.6102660031937426}",20,0,26.638189078431786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1018,False,"{'a': 0.41213192208662863, 'e': 0.6095527792193786}",25,0,-17.22491135832137,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
